query_id,query_term,uid,pmcid,pmid,doi,year,pubdate,title,journal_abbrev,journal_full,first_author,pmclivedate,pmc_url,ncbi_pmc_url,pdf_url,ncbi_total_count
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12740224,PMC12740224,41447636,10.1002/alz70857_104421,2025,2025 Dec 25,Reversible Brain Sagging Dementia: A Two Case Report,Alzheimers Dement,Alzheimer's & Dementia,Perez V,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12740224/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12740224/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12740224/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12739678,PMC12739678,41447084,10.1002/alz70857_101641,2025,2025 Dec 25,Atypical AD with mixed logopenic / non‐fluent primary progressive aphasia and ANXA11 gene mutation: a case report,Alzheimers Dement,Alzheimer's & Dementia,Fernandez PE,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739678/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12739678/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739678/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12739417,PMC12739417,41445427,10.1002/alz70857_102357,2025,2025 Dec 25,Bilateral Apraxia of Eyelid Closure in Corticobasal Syndrome,Alzheimers Dement,Alzheimer's & Dementia,Loveland C,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739417/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12739417/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739417/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12739227,PMC12739227,41445176,10.1002/alz70857_102003,2025,2025 Dec 24,Unravelling Posterior Cortical Atrophy: Clinico‐Imaging Insights from a Tertiary Care Cohort in India,Alzheimers Dement,Alzheimer's & Dementia,Gupta A,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739227/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12739227/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739227/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12738031,PMC12738031,41443774,10.1002/alz70857_101997,2025,2025 Dec 24,Sporadic mixed primary progressive aphasia with semantic / non‐fluent variant phenotypes and GRN mutation: a case report,Alzheimers Dement,Alzheimer's & Dementia,Fernandez PE,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738031/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12738031/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738031/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12736105,PMC12736105,0,10.3390/ph18121900,2025,2025 Dec 17,"Pridopidine, a Potent and Selective Therapeutic Sigma-1 Receptor (S1R) Agonist for Treating Neurodegenerative Diseases",Pharmaceuticals (Basel),Pharmaceuticals,Gershoni Emek N,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12736105/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12736105/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12736105/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12731386,PMC12731386,0,10.3390/cimb47121009,2025,2025 Dec 1,Mapping Lysosomal Storage Disorders with Neurological Features by Cellular Pathways: Towards Precision Medicine,Curr Issues Mol Biol,Current Issues in Molecular Biology,Makridou A,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12731386/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12731386/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12731386/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12731158,PMC12731158,41440061,10.3390/brainsci15121264,2025,2025 Nov 25,Comparative Study on Multimodal Imaging Applications in Dementia with Lewy Bodies: From Imaging Features to Clinical Practice Implications,Brain Sci,Brain Sciences,Li Q,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12731158/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12731158/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12731158/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12730234,PMC12730234,0,10.3390/biology14121722,2025,2025 Dec 1,Brain Gamma-Stimulation: Mechanisms and Optimization of Impact,Biology (Basel),Biology,Lushnikov KV,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12730234/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12730234/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12730234/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12727072,PMC12727072,39965244,10.14336/AD.2024.1432,2024,2024 Dec 7,Profile for Brain Disease Research Infrastructure for Data Gathering and Exploration (BRIDGE) Platform,Aging Dis,Aging and Disease,Oh S,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12727072/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12727072/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12727072/pdf/,5356
